k,w,y,E
0,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
1,"[0.0, 0.0, 0.0, 0.3, 0.3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
2,"[0.0, 0.0, 0.3, 0.6, 0.3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
3,"[0.0, 0.3, 0.6, 0.6, 0.3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
4,"[-0.3, 0.6, 0.6, 0.6, 0.3]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
5,"[-0.5999999999999999, 0.6, 0.6, 0.6, 0.3]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
6,"[-0.5999999999999999, 0.6, 0.6, 0.6, 0.6]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
7,"[-0.5999999999999999, 0.6, 0.6, 0.8999999999999999, 0.6]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
8,"[-0.5999999999999999, 0.6, 0.8999999999999999, 0.8999999999999999, 0.6]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
9,"[-0.8999999999999999, 0.6, 0.8999999999999999, 0.8999999999999999, 0.3]","[0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0
